item_name,price,item_image,place,item_category_name
熟成　真鯛,230,https://www.kurasushi.co.jp/menu/upload/d3acadf08de662bf66e40daf12869d5f69d5b379.jpg,圏外,くら寿司
熟成　ゆず漬け真鯛,230,https://www.kurasushi.co.jp/menu/upload/4d3295d92c3ef89b935ea648941e26a0ab32fc9b.jpg,圏外,くら寿司
あわびにぎり,230,https://www.kurasushi.co.jp/menu/upload/28d16c8393f0719b6df6d1f06f0232a939664681.jpg,圏外,くら寿司
北海道　ほたてにぎり,250,https://www.kurasushi.co.jp/menu/upload/588126d8a07cdb99c0963a3d6f1b74222f434855.jpg,圏外,くら寿司
鹿児島県 活〆ひらまさ,280,https://www.kurasushi.co.jp/menu/upload/4cd8f4b6be8448fe59073f1ba154e314ae346705.jpg,圏外,くら寿司
ふり塩熟成中とろ（一貫）,115,https://www.kurasushi.co.jp/menu/upload/10123667f7277020397e502625f0a418c29d2aab.jpg,圏外,くら寿司
特上まぐろ（一貫）,115,https://www.kurasushi.co.jp/menu/upload/8b76e0c41011f73ee06c41765c579abd2e3df967.jpg,圏外,くら寿司
天然真鯛湯引き（一貫）,115,https://www.kurasushi.co.jp/menu/upload/9e2d5642a536fc15512856eb8d3dda09f77fa803.jpg,圏外,くら寿司
熟成ふぐ（一貫）,115,https://www.kurasushi.co.jp/menu/upload/042d5c21b74d91964f3dfb3d80f83b30af1af928.jpg,圏外,くら寿司
大切りとろサーモン（一貫）,120,https://www.kurasushi.co.jp/menu/upload/db4f49be3d5716fc32841dc9ed835331352f0b55.jpg,圏外,くら寿司
大切り焼きはらす（一貫）,120,https://www.kurasushi.co.jp/menu/upload/3623a36dc9044fe45fae02e0eaf90a803869f0b0.jpg,圏外,くら寿司
赤えび（一貫）,165,https://www.kurasushi.co.jp/menu/images_menu/016be384920e9ddb33476d330a6d40d7194a533a.jpg,圏外,くら寿司
赤えび ゆず塩（一貫）,165,https://www.kurasushi.co.jp/menu/upload/fbf29c68978b47487758fbfb17ca41fc941a6d85.jpg,圏外,くら寿司
特大切り　活〆穴子（一貫）,230,https://www.kurasushi.co.jp/menu/upload/bd9903a1149ee9e424026e9d246b90f776407c86.jpg,圏外,くら寿司
特大切りうなぎ（一貫）,230,https://www.kurasushi.co.jp/menu/upload/0f7031b75499712b0ebac529e9389ad16b5f6f31.jpg,圏外,くら寿司
ふり塩　熟成大とろ（一貫）,345,https://www.kurasushi.co.jp/menu/upload/deffe691c23af6217bdb788ccb1a406e16eee287.jpg,圏外,くら寿司
